% AREA PERIMETER MAJOR_AXIS MINOR_AXIS ECCENTRICITY EQDIASQ SOLIDITY CONVEX_AREA EXTENT ASPECT_RATIO ROUNDNESS COMPACTNESS
63391 1568.405 390.3396 236.7461 0.7951 284.0984 0.8665 73160 0.6394 1.6488 0.3238 0.7278
68358 1942.187 410.8594 234.7525 0.8207 295.0188 0.8765 77991 0.6772 1.7502 0.2277 0.7181
73589 1246.538 452.363 220.5547 0.8731 306.0987 0.9172 80234 0.7127 2.051 0.5951 0.6767
71106 1445.261 429.5291 216.0765 0.8643 300.8903 0.9589 74153 0.7028 1.9879 0.4278 0.7005
80087 1251.524 469.3783 220.9344 0.8823 319.3273 0.9657 82929 0.7459 2.1245 0.6425 0.6803
52268 1154.15 383.8558 197.502 0.8575 257.9723 0.8563 61039 0.5628 1.9436 0.4931 0.6721
71693 1463.932 388.2366 252.82 0.7589 302.1297 0.9156 78304 0.6892 1.5356 0.4204 0.7782
62240 1898.45 385.7238 218.1349 0.8247 281.5074 0.8947 69563 0.6727 1.7683 0.217 0.7298
64319 2011.291 435.9127 213.7594 0.8715 286.1704 0.8633 74502 0.6542 2.0393 0.1998 0.6565
78115 1238.623 492.33 204.9987 0.9092 315.3714 0.9616 81236 0.7105 2.4016 0.6398 0.6406
69391 1930.618 422.5333 223.0412 0.8493 297.2396 0.8948 77549 0.631 1.8944 0.2339 0.7035
67309 2353.405 451.3162 201.3479 0.895 292.7464 0.8906 75573 0.6887 2.2415 0.1527 0.6487
81656 1197.543 458.7472 237.3117 0.8558 322.4402 0.9164 89104 0.7482 1.9331 0.7155 0.7029
61725 1387.943 432.0616 194.6882 0.8927 280.3404 0.9016 68459 0.671 2.2192 0.4027 0.6488
81583 1295.3361 479.0619 228.7762 0.8786 322.296 0.928 87911 0.6971 2.094 0.611 0.6728
62862 1086.575 431.9981 188.4041 0.8999 282.9106 0.9662 65062 0.7527 2.2929 0.6691 0.6549
84537 1181.153 461.5339 235.7771 0.8597 328.079 0.9858 85753 0.7674 1.9575 0.7615 0.7108
89306 1940.193 483.5113 249.2116 0.8569 337.2061 0.9492 94090 0.741 1.9402 0.2981 0.6974
70220 1217.2271 437.8213 214.6285 0.8716 299.0098 0.9267 75771 0.7174 2.0399 0.5956 0.6829
74843 1158.202 432.663 232.6371 0.8431 308.6957 0.9543 78426 0.7205 1.8598 0.7011 0.7135
87771 1319.517 454.6037 252.8515 0.831 334.2955 0.9446 92915 0.7355 1.7979 0.6335 0.7354
91806 1399.255 460.7054 260.789 0.8244 341.8933 0.9639 95243 0.7371 1.7666 0.5892 0.7421
63199 1236.666 421.4809 196.3623 0.8848 283.6679 0.9622 65683 0.589 2.1464 0.5193 0.673
74213 1158.459 437.698 224.3232 0.8587 307.3938 0.9472 78352 0.755 1.9512 0.6949 0.7023
37570 1341.147 344.9283 143.1741 0.9098 218.7135 0.8697 43197 0.6135 2.4092 0.2625 0.6341
77789 1362.205 465.1488 217.4065 0.8841 314.7126 0.9473 82118 0.7536 2.1395 0.5268 0.6766
84672 1334.7111 489.0739 221.9485 0.8911 328.3409 0.9719 87123 0.7397 2.2035 0.5973 0.6714
58424 1753.005 397.4376 192.0517 0.8755 272.7412 0.9236 63260 0.6785 2.0694 0.2389 0.6862
93340 1290.415 511.8364 235.6817 0.8877 344.7379 0.971 96123 0.7512 2.1717 0.7044 0.6735
75077 1120.8929 458.377 211.5717 0.8871 309.1779 0.9779 76774 0.7671 2.1665 0.7509 0.6745
72345 1368.713 418.4174 224.5171 0.8438 303.5004 0.9387 77070 0.6268 1.8636 0.4853 0.7254
78461 1203.48 437.4697 232.9623 0.8464 316.0691 0.9698 80902 0.7554 1.8779 0.6807 0.7225
76915 1097.152 442.0767 224.2478 0.8618 312.9396 0.9841 78158 0.7652 1.9714 0.8029 0.7079
92480 1255.385 500.6346 240.093 0.8775 343.146 0.9685 95490 0.7341 2.0852 0.7374 0.6854
73059 1628.4709 427.7905 230.3421 0.8427 304.9944 0.9194 79460 0.6748 1.8572 0.3462 0.713
61791 1528.2679 414.7242 207.9009 0.8653 280.4902 0.893 69194 0.6591 1.9948 0.3325 0.6763
85157 1363.88 499.3797 222.86 0.8949 329.2799 0.9562 89054 0.6959 2.2408 0.5753 0.6594
70770 1384.416 452.0448 210.2005 0.8853 300.1786 0.9106 77716 0.6567 2.1505 0.464 0.664
47845 949.563 365.4784 181.8247 0.8675 246.816 0.8916 53660 0.7029 2.0101 0.6668 0.6753
73577 1087.76 428.6543 222.8309 0.8543 306.0738 0.9841 74762 0.7061 1.9237 0.7814 0.714
84056 1385.101 464.739 237.5981 0.8594 327.1443 0.9427 89167 0.7534 1.956 0.5506 0.7039
62609 1050.494 385.9383 208.47 0.8416 282.3407 0.9746 64238 0.726 1.8513 0.713 0.7316
31446 1127.548 360.3897 133.5096 0.9288 200.0957 0.7601 41369 0.4853 2.6994 0.3108 0.5552
76194 1344.9139 458.8042 213.5682 0.8851 311.4695 0.9694 78600 0.7459 2.1483 0.5293 0.6789
96528 1227.693 503.6039 248.7427 0.8695 350.5756 0.9915 97353 0.7454 2.0246 0.8048 0.6961
79797 1234.702 477.1937 215.0855 0.8927 318.7486 0.9729 82021 0.7636 2.2186 0.6578 0.668
86028 2224.957 461.7926 250.666 0.8399 330.9596 0.9155 93967 0.7231 1.8423 0.2184 0.7167
65410 1032.755 412.5824 205.1103 0.8677 288.5872 0.9809 66683 0.7523 2.0115 0.7707 0.6995
65313 1188.033 447.5455 188.3187 0.9072 288.3732 0.9602 68022 0.6756 2.3765 0.5815 0.6443
50619 1564.62 388.0582 246.0368 0.7733 253.8703 0.6643 76196 0.499 1.5772 0.2598 0.6542
90439 1240.946 492.7342 238.3388 0.8752 339.3383 0.9755 92710 0.7723 2.0674 0.738 0.6887
92442 1264.097 525.7289 224.7688 0.904 343.0755 0.989 93467 0.7268 2.339 0.727 0.6526
93501 1303.598 517.9537 231.263 0.8948 345.035 0.9784 95561 0.7334 2.2397 0.6914 0.6662
69088 1402.432 460.5004 202.9455 0.8977 296.5899 0.9128 75684 0.6446 2.2691 0.4414 0.6441
64307 1225.937 402.5959 220.378 0.8369 286.1437 0.8963 71746 0.7242 1.8268 0.5377 0.7107
72065 1333.058 414.2928 229.8281 0.832 302.9125 0.938 76825 0.7062 1.8026 0.5096 0.7312
57068 1581.246 403.2427 183.9032 0.8899 269.5575 0.933 61167 0.6873 2.1927 0.2868 0.6685
65427 1047.767 421.7471 206.7846 0.8716 288.6248 0.9497 68891 0.654 2.0395 0.7489 0.6844
77050 1725.632 438.9074 247.6871 0.8256 313.2141 0.8931 86274 0.7109 1.772 0.3252 0.7136
66535 1659.483 404.52 224.5332 0.8318 291.0584 0.9149 72723 0.7063 1.8016 0.3036 0.7195
77361 1399.844 441.3551 231.3814 0.8516 313.8456 0.9545 81047 0.6335 1.9075 0.4961 0.7111
66351 1271.3149 427.1792 204.8042 0.8776 290.6557 0.9283 71474 0.74 2.0858 0.5159 0.6804
71601 2099.2209 442.7674 216.0146 0.8729 301.9358 0.8732 82001 0.6963 2.0497 0.2042 0.6819
90965 2020.76 476.796 251.2151 0.8499 340.3237 0.9449 96265 0.6642 1.898 0.2799 0.7138
80126 1643.757 469.2585 223.1923 0.8796 319.4051 0.9537 84017 0.7214 2.1025 0.3727 0.6807
62512 995.819 388.3713 209.3298 0.8423 282.1219 0.9629 64918 0.7729 1.8553 0.7922 0.7264
70937 1640.005 460.0704 207.4556 0.8926 300.5325 0.8903 79679 0.6278 2.2177 0.3314 0.6532
60803 1317.906 413.886 195.5904 0.8813 278.2387 0.9106 66769 0.6834 2.1161 0.4399 0.6723
67632 1172.774 450.7991 199.7804 0.8964 293.448 0.9534 70939 0.68 2.2565 0.6179 0.651
73346 1379.818 450.6285 211.6458 0.8828 305.5929 0.9272 79103 0.7214 2.1292 0.4841 0.6781
90838 1273.083 485.8356 243.6367 0.8652 340.0861 0.9579 94826 0.7631 1.9941 0.7043 0.7
50909 1224.295 376.1862 182.7449 0.8741 254.5965 0.9119 55829 0.6996 2.0585 0.4268 0.6768
81491 1124.584 454.8868 230.6578 0.8619 322.1142 0.9895 82357 0.7996 1.9721 0.8097 0.7081
78375 1327.229 459.6328 222.1572 0.8754 315.8958 0.9653 81193 0.6961 2.069 0.5591 0.6873
88446 1305.201 494.5618 233.0013 0.8821 335.5785 0.9528 92825 0.734 2.1226 0.6524 0.6785
76645 1177.611 443.8281 224.6561 0.8624 312.3899 0.9531 80416 0.7404 1.9756 0.6945 0.7039
86335 1204.7581 474.8975 233.5128 0.8708 331.5496 0.9882 87363 0.751 2.0337 0.7475 0.6981
50943 1183.611 411.1484 162.1829 0.9189 254.6815 0.9226 55216 0.6845 2.5351 0.457 0.6194
86122 1221.968 484.0731 228.6191 0.8814 331.1404 0.9761 88229 0.731 2.1174 0.7248 0.6841
60411 1880.844 425.6987 202.7384 0.8793 277.3404 0.871 69362 0.6852 2.0997 0.2146 0.6515
81164 1222.931 442.9454 242.1429 0.8374 321.4673 0.9392 86419 0.7543 1.8293 0.682 0.7257
57539 1852.1949 415.5954 218.6565 0.8504 270.6676 0.7909 72752 0.6211 1.9007 0.2108 0.6513
89516 1381.541 472.1266 247.1898 0.852 337.6023 0.9558 93654 0.7111 1.91 0.5894 0.7151
80823 1752.064 455.1963 249.032 0.8371 320.7913 0.8924 90565 0.6916 1.8279 0.3309 0.7047
63890 1110.252 413.5992 200.6706 0.8744 285.2144 0.9572 66746 0.6584 2.0611 0.6513 0.6896
74065 1380.55 405.4317 245.2286 0.7963 307.0871 0.9041 81920 0.7251 1.6533 0.4883 0.7574
