%wheel-base length width height curb-weight engine-size horsepower highway-mpg
88.6 168.8 64.1 48.8 2548 130 111 27
88.6 168.8 64.1 48.8 2548 130 111 27
94.5 171.2 65.5 52.4 2823 152 154 26
99.8 176.6 66.2 54.3 2337 109 102 30
99.4 176.6 66.4 54.3 2824 136 115 22
99.8 177.3 66.3 53.1 2507 136 110 25
105.8 192.7 71.4 55.7 2844 136 110 25
105.8 192.7 71.4 55.7 2954 136 110 25
105.8 192.7 71.4 55.9 3086 131 140 20
99.5 178.2 67.9 52 3053 131 160 22
101.2 176.8 64.8 54.3 2395 108 101 29
101.2 176.8 64.8 54.3 2395 108 101 29
101.2 176.8 64.8 54.3 2710 164 121 28
101.2 176.8 64.8 54.3 2765 164 121 28
103.5 189 66.9 55.7 3055 164 121 25
103.5 189 66.9 55.7 3230 209 182 22
103.5 193.8 67.9 53.7 3380 209 182 22
110 197 70.9 56.3 3505 209 182 20
88.4 141.1 60.3 53.2 1488 61 48 53
94.5 155.9 63.6 52 1874 90 70 43
94.5 158.8 63.6 52 1909 90 70 43
93.7 157.3 63.8 50.8 1876 90 68 41
93.7 157.3 63.8 50.8 1876 90 68 38
93.7 157.3 63.8 50.8 2128 98 102 30
93.7 157.3 63.8 50.6 1967 90 68 38
93.7 157.3 63.8 50.6 1989 90 68 38
93.7 157.3 63.8 50.6 1989 90 68 38
93.7 157.3 63.8 50.6 2191 98 102 30
103.3 174.6 64.6 59.8 2535 122 88 30
95.9 173.2 66.3 50.2 2811 156 145 24
86.6 144.6 63.9 50.8 1713 92 58 54
86.6 144.6 63.9 50.8 1819 92 76 38
93.7 150 64 52.6 1837 79 60 42
93.7 150 64 52.6 1940 92 76 34
93.7 150 64 52.6 1956 92 76 34
96.5 163.4 64 54.5 2010 92 76 34
96.5 157.1 63.9 58.3 2024 92 76 34
96.5 167.5 65.2 53.3 2236 110 86 33
96.5 167.5 65.2 53.3 2289 110 86 33
96.5 175.4 65.2 54.1 2304 110 86 33
96.5 175.4 62.5 54.1 2372 110 86 33
96.5 175.4 65.2 54.1 2465 110 101 28
96.5 169.1 66 51 2293 110 100 31
94.3 170.7 61.8 53.5 2337 111 78 29
94.5 155.9 63.6 52 1874 90 70 43
94.5 155.9 63.6 52 1909 90 70 43
96 172.6 65.2 51.4 2734 119 90 29
113 199.6 69.6 52.8 4066 258 176 19
113 199.6 69.6 52.8 4066 258 176 19
102 191.7 70.6 47.8 3950 326 262 17
93.1 159.1 64.2 54.1 1890 91 68 31
93.1 159.1 64.2 54.1 1900 91 68 38
93.1 159.1 64.2 54.1 1905 91 68 38
93.1 166.8 64.2 54.1 1945 91 68 38
93.1 166.8 64.2 54.1 1950 91 68 38
95.3 169 65.7 49.6 2380 70 101 23
95.3 169 65.7 49.6 2380 70 101 23
95.3 169 65.7 49.6 2385 70 101 23
95.3 169 65.7 49.6 2500 80 135 23
98.8 177.8 66.5 53.7 2385 122 84 32
98.8 177.8 66.5 55.5 2410 122 84 32
98.8 177.8 66.5 53.7 2385 122 84 32
98.8 177.8 66.5 55.5 2410 122 84 32
98.8 177.8 66.5 55.5 2443 122 64 42
98.8 177.8 66.5 55.5 2425 122 84 32
104.9 175 66.1 54.4 2670 140 120 27
104.9 175 66.1 54.4 2700 134 72 39
110 190.9 70.3 56.5 3515 183 123 25
110 190.9 70.3 58.7 3750 183 123 25
106.7 187.5 70.3 54.9 3495 183 123 25
115.6 202.6 71.7 56.3 3770 183 123 25
115.6 202.6 71.7 56.5 3740 234 155 18
96.6 180.3 70.5 50.8 3685 234 155 18
120.9 208.1 71.7 56.7 3900 308 184 16
112 199.2 72 55.4 3715 304 184 16
102.7 178.4 68 54.8 2910 140 175 24
93.7 157.3 64.4 50.8 1918 92 68 41
93.7 157.3 64.4 50.8 1944 92 68 38
93.7 157.3 64.4 50.8 2004 92 68 38
93 157.3 63.8 50.8 2145 98 102 30
96.3 173 65.4 49.4 2370 110 116 30
96.3 173 65.4 49.4 2328 122 88 32
95.9 173.2 66.3 50.2 2833 156 145 24
95.9 173.2 66.3 50.2 2921 156 145 24
95.9 173.2 66.3 50.2 2926 156 145 24
96.3 172.4 65.4 51.6 2365 122 88 32
96.3 172.4 65.4 51.6 2405 122 88 32
96.3 172.4 65.4 51.6 2403 110 116 30
96.3 172.4 65.4 51.6 2403 110 116 30
94.5 165.3 63.8 54.5 1889 97 69 37
94.5 165.3 63.8 54.5 2017 103 55 50
94.5 165.3 63.8 54.5 1918 97 69 37
94.5 165.3 63.8 54.5 1938 97 69 37
94.5 170.2 63.8 53.5 2024 97 69 37
94.5 165.3 63.8 54.5 1951 97 69 37
94.5 165.6 63.8 53.3 2028 97 69 37
94.5 165.3 63.8 54.5 1971 97 69 37
94.5 170.2 63.8 53.5 2037 97 69 37
95.1 162.4 63.8 53.3 2008 97 69 37
